,title,year,recipients,num_recipients,motivation
46,The Nobel Peace Prize,2011,"['Ellen Johnson Sirleaf', 'Leymah Gbowee', 'Tawakkol Karman']",3,“for their non-violent struggle for the safety of women and for women’s rights to full participation in peace-building work”
47,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2011,"['Thomas J. Sargent', 'Christopher A. Sims']",2,“for their empirical research on cause and effect in the macroeconomy”
48,The Nobel Prize in Physics,2010,"['Andre Geim', 'Konstantin Novoselov']",2,“for groundbreaking experiments regarding the two-dimensional material graphene”
49,The Nobel Prize in Chemistry,2010,"['Richard F. Heck', 'Ei-ichi Negishi', 'Akira Suzuki']",3,“for palladium-catalyzed cross couplings in organic synthesis”
50,The Nobel Prize in Physiology or Medicine,2010,['Robert G. Edwards'],1,“for the development of in vitro fertilization”
51,The Nobel Prize in Literature,2010,['Mario Vargas Llosa'],1,"“for his cartography of structures of power and his trenchant images of the individual’s resistance, revolt, and defeat”"
52,The Nobel Peace Prize,2010,['Liu Xiaobo'],1,“for his long and non-violent struggle for fundamental human rights in China”
53,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2010,"['Peter A. Diamond', 'Dale T. Mortensen', 'Christopher A. Pissarides']",3,“for their analysis of markets with search frictions”
54,The Nobel Prize in Physics,2009,"['Charles Kuen Kao', 'Willard S. Boyle', 'George E. Smith']",3,“for groundbreaking achievements concerning the transmission of light in fibers for optical communication”
55,The Nobel Prize in Chemistry,2009,"['Venkatraman Ramakrishnan', 'Thomas A. Steitz', 'Ada E. Yonath']",3,“for studies of the structure and function of the ribosome”
56,The Nobel Prize in Physiology or Medicine,2009,"['Elizabeth H. Blackburn', 'Carol W. Greider', 'Jack W. Szostak']",3,“for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase”
57,The Nobel Prize in Literature,2009,['Herta Müller'],1,"“who, with the concentration of poetry and the frankness of prose, depicts the landscape of the dispossessed”"
58,The Nobel Peace Prize,2009,['Barack H. Obama'],1,“for his extraordinary efforts to strengthen international diplomacy and cooperation between peoples”
59,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2009,"['Elinor Ostrom', 'Oliver E. Williamson']",2,"“for her analysis of economic governance, especially the commons”"
60,The Nobel Prize in Physics,2008,"['Yoichiro Nambu', 'Makoto Kobayashi', 'Toshihide Maskawa']",3,“for the discovery of the mechanism of spontaneous broken symmetry in subatomic physics”
61,The Nobel Prize in Chemistry,2008,"['Osamu Shimomura', 'Martin Chalfie', 'Roger Y. Tsien']",3,"“for the discovery and development of the green fluorescent protein, GFP”"
62,The Nobel Prize in Physiology or Medicine,2008,"['Harald zur Hausen', 'Françoise Barré-Sinoussi', 'Luc Montagnier']",3,“for his discovery of human papilloma viruses causing cervical cancer”
63,The Nobel Prize in Literature,2008,['Jean-Marie Gustave Le Clézio'],1,"“author of new departures, poetic adventure and sensual ecstasy, explorer of a humanity beyond and below the reigning civilization”"
64,The Nobel Peace Prize,2008,['Martti Ahtisaari'],1,"“for his important efforts, on several continents and over more than three decades, to resolve international conflicts”"
65,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2008,['Paul Krugman'],1,“for his analysis of trade patterns and location of economic activity”
66,The Nobel Prize in Physics,2007,"['Albert Fert', 'Peter Grünberg']",2,“for the discovery of Giant Magnetoresistance”
67,The Nobel Prize in Chemistry,2007,['Gerhard Ertl'],1,“for his studies of chemical processes on solid surfaces”
68,The Nobel Prize in Physiology or Medicine,2007,"['Mario R. Capecchi', 'Sir Martin J. Evans', 'Oliver Smithies']",3,“for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells”
69,The Nobel Prize in Literature,2007,['Doris Lessing'],1,"“that epicist of the female experience, who with scepticism, fire and visionary power has subjected a divided civilisation to scrutiny”"
70,The Nobel Peace Prize,2007,"['Intergovernmental Panel on Climate Change (IPCC) ', 'Albert Arnold (Al) Gore Jr.']",2,"“for their efforts to build up and disseminate greater knowledge about man-made climate change, and to lay the foundations for the measures that are needed to counteract such change”"
71,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2007,"['Leonid Hurwicz', 'Eric S. Maskin', 'Roger B. Myerson']",3,“for having laid the foundations of mechanism design theory”
72,The Nobel Prize in Physics,2006,"['John C. Mather', 'George F. Smoot']",2,“for their discovery of the blackbody form and anisotropy of the cosmic microwave background radiation”
73,The Nobel Prize in Chemistry,2006,['Roger D. Kornberg'],1,“for his studies of the molecular basis of eukaryotic transcription”
74,The Nobel Prize in Physiology or Medicine,2006,"['Andrew Z. Fire', 'Craig C. Mello']",2,“for their discovery of RNA interference – gene silencing by double-stranded RNA”
75,The Nobel Prize in Literature,2006,['Orhan Pamuk'],1,“who in the quest for the melancholic soul of his native city has discovered new symbols for the clash and interlacing of cultures”
76,The Nobel Peace Prize,2006,"['Muhammad Yunus', 'Grameen Bank ']",2,“for their efforts to create economic and social development from below”
77,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2006,['Edmund S. Phelps'],1,“for his analysis of intertemporal tradeoffs in macroeconomic policy”
78,The Nobel Prize in Physics,2005,"['Roy J. Glauber', 'John L. Hall', 'Theodor W. Hänsch']",3,“for his contribution to the quantum theory of optical coherence”
79,The Nobel Prize in Chemistry,2005,"['Yves Chauvin', 'Robert H. Grubbs', 'Richard R. Schrock']",3,“for the development of the metathesis method in organic synthesis”
80,The Nobel Prize in Physiology or Medicine,2005,"['Barry J. Marshall', 'J. Robin Warren']",2,“for their discovery of the bacterium Helicobacter pylori and its role in gastritis and peptic ulcer disease”
81,The Nobel Prize in Literature,2005,['Harold Pinter'],1,“who in his plays uncovers the precipice under everyday prattle and forces entry into oppression’s closed rooms”
82,The Nobel Peace Prize,2005,"['International Atomic Energy Agency (IAEA) ', 'Mohamed ElBaradei']",2,“for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way”
83,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2005,"['Robert J. Aumann', 'Thomas C. Schelling']",2,“for having enhanced our understanding of conflict and cooperation through game-theory analysis”
84,The Nobel Prize in Physics,2004,"['David J. Gross', 'H. David Politzer', 'Frank Wilczek']",3,“for the discovery of asymptotic freedom in the theory of the strong interaction”
85,The Nobel Prize in Chemistry,2004,"['Aaron Ciechanover', 'Avram Hershko', 'Irwin Rose']",3,“for the discovery of ubiquitin-mediated protein degradation”
86,The Nobel Prize in Physiology or Medicine,2004,"['Richard Axel', 'Linda B. Buck']",2,“for their discoveries of odorant receptors and the organization of the olfactory system”
87,The Nobel Prize in Literature,2004,['Elfriede Jelinek'],1,“for her musical flow of voices and counter-voices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of society’s clichés and their subjugating power”
88,The Nobel Peace Prize,2004,['Wangari Muta Maathai'],1,"“for her contribution to sustainable development, democracy and peace”"
89,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2004,"['Finn E. Kydland', 'Edward C. Prescott']",2,“for their contributions to dynamic macroeconomics: the time consistency of economic policy and the driving forces behind business cycles”
90,The Nobel Prize in Physics,2003,"['Alexei A. Abrikosov', 'Vitaly L. Ginzburg', 'Anthony J. Leggett']",3,“for pioneering contributions to the theory of superconductors and superfluids”
91,The Nobel Prize in Chemistry,2003,"['Peter Agre', 'Roderick MacKinnon']",2,“for discoveries concerning channels in cell membranes”
92,The Nobel Prize in Physiology or Medicine,2003,"['Paul C. Lauterbur', 'Sir Peter Mansfield']",2,“for their discoveries concerning magnetic resonance imaging”
93,The Nobel Prize in Literature,2003,['John M. Coetzee'],1,“who in innumerable guises portrays the surprising involvement of the outsider”
94,The Nobel Peace Prize,2003,['Shirin Ebadi'],1,“for her efforts for democracy and human rights. She has focused especially on the struggle for the rights of women and children”
95,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2003,"['Robert F. Engle III', 'Clive W.J. Granger']",2,“for methods of analyzing economic time series with time-varying volatility (ARCH)”
96,The Nobel Prize in Physics,2002,"['Raymond Davis Jr.', 'Masatoshi Koshiba', 'Riccardo Giacconi']",3,"“for pioneering contributions to astrophysics, in particular for the detection of cosmic neutrinos”"
97,The Nobel Prize in Chemistry,2002,"['John B. Fenn', 'Koichi Tanaka', 'Kurt Wüthrich']",3,“for the development of methods for identification and structure analyses of biological macromolecules”
98,The Nobel Prize in Physiology or Medicine,2002,"['Sydney Brenner', 'H. Robert Horvitz', 'John E. Sulston']",3,“for their discoveries concerning genetic regulation of organ development and programmed cell death'”
99,The Nobel Prize in Literature,2002,['Imre Kertész'],1,“for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history”
100,The Nobel Peace Prize,2002,['Jimmy Carter'],1,"“for his decades of untiring effort to find peaceful solutions to international conflicts, to advance democracy and human rights, and to promote economic and social development”"
101,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2002,"['Daniel Kahneman', 'Vernon L. Smith']",2,"“for having integrated insights from psychological research into economic science, especially concerning human judgment and decision-making under uncertainty”"
102,The Nobel Prize in Physics,2001,"['Eric A. Cornell', 'Wolfgang Ketterle', 'Carl E. Wieman']",3,"“for the achievement of Bose-Einstein condensation in dilute gases of alkali atoms, and for early fundamental studies of the properties of the condensates”"
103,The Nobel Prize in Chemistry,2001,"['William S. Knowles', 'Ryoji Noyori', 'K. Barry Sharpless']",3,“for their work on chirally catalysed hydrogenation reactions”
104,The Nobel Prize in Physiology or Medicine,2001,"['Leland H. Hartwell', 'Tim Hunt', 'Sir Paul M. Nurse']",3,“for their discoveries of key regulators of the cell cycle”
105,The Nobel Prize in Literature,2001,['Sir Vidiadhar Surajprasad Naipaul'],1,“for having united perceptive narrative and incorruptible scrutiny in works that compel us to see the presence of suppressed histories”
106,The Nobel Peace Prize,2001,"['United Nations (U.N.) ', 'Kofi Annan']",2,“for their work for a better organized and more peaceful world”
107,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2001,"['George A. Akerlof', 'A. Michael Spence', 'Joseph E. Stiglitz']",3,“for their analyses of markets with asymmetric information”
108,The Nobel Prize in Physics,2000,"['Zhores I. Alferov', 'Herbert Kroemer', 'Jack S. Kilby']",3,“for basic work on information and communication technology”
109,The Nobel Prize in Chemistry,2000,"['Alan J. Heeger', 'Alan G. MacDiarmid', 'Hideki Shirakawa']",3,“for the discovery and development of conductive polymers”
110,The Nobel Prize in Physiology or Medicine,2000,"['Arvid Carlsson', 'Paul Greengard', 'Eric R. Kandel']",3,“for their discoveries concerning signal transduction in the nervous system”
111,The Nobel Prize in Literature,2000,['Gao Xingjian'],1,"“for an æuvre of universal validity, bitter insights and linguistic ingenuity, which has opened new paths for the Chinese novel and drama”"
112,The Nobel Peace Prize,2000,['Kim Dae-jung'],1,"“for his work for democracy and human rights in South Korea and in East Asia in general, and for peace and reconciliation with North Korea in particular”"
113,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2000,"['James J. Heckman', 'Daniel L. McFadden']",2,“for his development of theory and methods for analyzing selective samples”
114,The Nobel Prize in Physics,1999,"['Gerardus ‘t Hooft', 'Martinus J.G. Veltman']",2,“for elucidating the quantum structure of electroweak interactions in physics”
115,The Nobel Prize in Chemistry,1999,['Ahmed H. Zewail'],1,“for his studies of the transition states of chemical reactions using femtosecond spectroscopy”
116,The Nobel Prize in Physiology or Medicine,1999,['Günter Blobel'],1,“for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell”
117,The Nobel Prize in Literature,1999,['Günter Grass'],1,“whose frolicsome black fables portray the forgotten face of history”
118,The Nobel Peace Prize,1999,['Médecins Sans Frontières '],1,“in recognition of the organization’s pioneering humanitarian work on several continents”
119,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1999,['Robert A. Mundell'],1,“for his analysis of monetary and fiscal policy under different exchange rate regimes and his analysis of optimum currency areas”
120,The Nobel Prize in Physics,1998,"['Robert B. Laughlin', 'Horst L. Störmer', 'Daniel C. Tsui']",3,“for their discovery of a new form of quantum fluid with fractionally charged excitations”
121,The Nobel Prize in Chemistry,1998,"['Walter Kohn', 'John A. Pople']",2,“for his development of the density-functional theory”
122,The Nobel Prize in Physiology or Medicine,1998,"['Robert F. Furchgott', 'Louis J. Ignarro', 'Ferid Murad']",3,“for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system”
123,The Nobel Prize in Literature,1998,['José Saramago'],1,"“who with parables sustained by imagination, compassion and irony continually enables us once again to apprehend an elusory reality”"
124,The Nobel Peace Prize,1998,"['John Hume', 'David Trimble']",2,“for their efforts to find a peaceful solution to the conflict in Northern Ireland”
125,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1998,['Amartya Sen'],1,“for his contributions to welfare economics”
126,The Nobel Prize in Physics,1997,"['Steven Chu', 'Claude Cohen-Tannoudji', 'William D. Phillips']",3,“for development of methods to cool and trap atoms with laser light”
127,The Nobel Prize in Chemistry,1997,"['Paul D. Boyer', 'John E. Walker', 'Jens C. Skou']",3,“for their elucidation of the enzymatic mechanism underlying the synthesis of adenosine triphosphate (ATP)”
128,The Nobel Prize in Physiology or Medicine,1997,['Stanley B. Prusiner'],1,“for his discovery of Prions – a new biological principle of infection”
129,The Nobel Prize in Literature,1997,['Dario Fo'],1,“who emulates the jesters of the Middle Ages in scourging authority and upholding the dignity of the downtrodden”
130,The Nobel Peace Prize,1997,"['International Campaign to Ban Landmines (ICBL) ', 'Jody Williams']",2,“for their work for the banning and clearing of anti-personnel mines”
131,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1997,"['Robert C. Merton', 'Myron S. Scholes']",2,“for a new method to determine the value of derivatives”
132,The Nobel Prize in Physics,1996,"['David M. Lee', 'Douglas D. Osheroff', 'Robert C. Richardson']",3,“for their discovery of superfluidity in helium-3”
133,The Nobel Prize in Chemistry,1996,"['Robert F. Curl Jr.', 'Sir Harold W. Kroto', 'Richard E. Smalley']",3,“for their discovery of fullerenes”
134,The Nobel Prize in Physiology or Medicine,1996,"['Peter C. Doherty', 'Rolf M. Zinkernagel']",2,“for their discoveries concerning the specificity of the cell mediated immune defence”
135,The Nobel Prize in Literature,1996,['Wislawa Szymborska'],1,“for poetry that with ironic precision allows the historical and biological context to come to light in fragments of human reality”
136,The Nobel Peace Prize,1996,"['Carlos Filipe Ximenes Belo', 'José Ramos-Horta']",2,“for their work towards a just and peaceful solution to the conflict in East Timor”
137,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1996,"['James A. Mirrlees', 'William Vickrey']",2,“for their fundamental contributions to the economic theory of incentives under asymmetric information”
138,The Nobel Prize in Physics,1995,"['Martin L. Perl', 'Frederick Reines']",2,“for pioneering experimental contributions to lepton physics”
139,The Nobel Prize in Chemistry,1995,"['Paul J. Crutzen', 'Mario J. Molina', 'F. Sherwood Rowland']",3,"“for their work in atmospheric chemistry, particularly concerning the formation and decomposition of ozone”"
140,The Nobel Prize in Physiology or Medicine,1995,"['Edward B. Lewis', 'Christiane Nüsslein-Volhard', 'Eric F. Wieschaus']",3,“for their discoveries concerning the genetic control of early embryonic development”
141,The Nobel Prize in Literature,1995,['Seamus Heaney'],1,"“for works of lyrical beauty and ethical depth, which exalt everyday miracles and the living past”"
142,The Nobel Peace Prize,1995,"['Joseph Rotblat', 'Pugwash Conferences on Science and World Affairs ']",2,"“for their efforts to diminish the part played by nuclear arms in international politics and, in the longer run, to eliminate such arms”"
143,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1995,['Robert E. Lucas Jr.'],1,"“for having developed and applied the hypothesis of rational expectations, and thereby having transformed macroeconomic analysis and deepened our understanding of economic policy”"
144,The Nobel Prize in Physics,1994,"['Bertram N. Brockhouse', 'Clifford G. Shull']",2,“for pioneering contributions to the development of neutron scattering techniques for studies of condensed matter”
145,The Nobel Prize in Chemistry,1994,['George A. Olah'],1,“for his contribution to carbocation chemistry”
146,The Nobel Prize in Physiology or Medicine,1994,"['Alfred G. Gilman', 'Martin Rodbell']",2,“for their discovery of G-proteins and the role of these proteins in signal transduction in cells”
147,The Nobel Prize in Literature,1994,['Kenzaburo Oe'],1,"“who with poetic force creates an imagined world, where life and myth condense to form a disconcerting picture of the human predicament today”"
148,The Nobel Peace Prize,1994,"['Yasser Arafat', 'Shimon Peres', 'Yitzhak Rabin']",3,“for their efforts to create peace in the Middle East”
149,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1994,"['John C. Harsanyi', 'John F. Nash Jr.', 'Reinhard Selten']",3,“for their pioneering analysis of equilibria in the theory of non-cooperative games”
150,The Nobel Prize in Physics,1993,"['Russell A. Hulse', 'Joseph H. Taylor Jr.']",2,"“for the discovery of a new type of pulsar, a discovery that has opened up new possibilities for the study of gravitation”"
151,The Nobel Prize in Chemistry,1993,"['Kary B. Mullis', 'Michael Smith']",2,“for contributions to the developments of methods within DNA-based chemistry”
152,The Nobel Prize in Physiology or Medicine,1993,"['Richard J. Roberts', 'Phillip A. Sharp']",2,“for their discoveries of split genes”
153,The Nobel Prize in Literature,1993,['Toni Morrison'],1,"“who in novels characterized by visionary force and poetic import, gives life to an essential aspect of American reality”"
154,The Nobel Peace Prize,1993,"['Nelson Mandela', 'Frederik Willem de Klerk']",2,"“for their work for the peaceful termination of the apartheid regime, and for laying the foundations for a new democratic South Africa”"
155,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1993,"['Robert W. Fogel', 'Douglass C. North']",2,“for having renewed research in economic history by applying economic theory and quantitative methods in order to explain economic and institutional change”
156,The Nobel Prize in Physics,1992,['Georges Charpak'],1,"“for his invention and development of particle detectors, in particular the multiwire proportional chamber”"
157,The Nobel Prize in Chemistry,1992,['Rudolph A. Marcus'],1,“for his contributions to the theory of electron transfer reactions in chemical systems”
158,The Nobel Prize in Physiology or Medicine,1992,"['Edmond H. Fischer', 'Edwin G. Krebs']",2,“for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism”
159,The Nobel Prize in Literature,1992,['Derek Walcott'],1,"“for a poetic oeuvre of great luminosity, sustained by a historical vision, the outcome of a multicultural commitment”"
160,The Nobel Peace Prize,1992,['Rigoberta Menchú Tum'],1,“in recognition of her work for social justice and ethno-cultural reconciliation based on respect for the rights of indigenous peoples”
161,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1992,['Gary S. Becker'],1,"“for having extended the domain of microeconomic analysis to a wide range of human behaviour and interaction, including nonmarket behaviour”"
162,The Nobel Prize in Physics,1991,['Pierre-Gilles de Gennes'],1,"“for discovering that methods developed for studying order phenomena in simple systems can be generalized to more complex forms of matter, in particular to liquid crystals and polymers”"
163,The Nobel Prize in Chemistry,1991,['Richard R. Ernst'],1,“for his contributions to the development of the methodology of high resolution nuclear magnetic resonance (NMR) spectroscopy”
164,The Nobel Prize in Physiology or Medicine,1991,"['Erwin Neher', 'Bert Sakmann']",2,“for their discoveries concerning the function of single ion channels in cells”
165,The Nobel Prize in Literature,1991,['Nadine Gordimer'],1,“who through her magnificent epic writing has – in the words of Alfred Nobel – been of very great benefit to humanity”
166,The Nobel Peace Prize,1991,['Aung San Suu Kyi '],1,“for her non-violent struggle for democracy and human rights”
167,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1991,['Ronald H. Coase'],1,“for his discovery and clarification of the significance of transaction costs and property rights for the institutional structure and functioning of the economy”
168,The Nobel Prize in Physics,1990,"['Jerome I. Friedman', 'Henry W. Kendall', 'Richard E. Taylor']",3,"“for their pioneering investigations concerning deep inelastic scattering of electrons on protons and bound neutrons, which have been of essential importance for the development of the quark model in particle physics”"
169,The Nobel Prize in Chemistry,1990,['Elias James Corey'],1,“for his development of the theory and methodology of organic synthesis”
170,The Nobel Prize in Physiology or Medicine,1990,"['Joseph E. Murray', 'E. Donnall Thomas']",2,“for their discoveries concerning organ and cell transplantation in the treatment of human disease”
171,The Nobel Prize in Literature,1990,['Octavio Paz'],1,"“for impassioned writing with wide horizons, characterized by sensuous intelligence and humanistic integrity”"
172,The Nobel Peace Prize,1990,['Mikhail Sergeyevich Gorbachev'],1,“for his leading role in the peace process which today characterizes important parts of the international community”
173,The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,1990,"['Harry M. Markowitz', 'Merton H. Miller', 'William F. Sharpe']",3,“for their pioneering work in the theory of financial economics”
