location,lat,lon
"Crestview Hills, Kentucky",,
"Barbourville, Kentucky",,
"Pikeville, Kentucky",,
"Williamsburg, Kentucky",,
"Paducah, Kentucky",,
"Baton Rouge, Louisiana",,
"Bossier City, Louisiana",,
"Shreveport, Louisiana",,
"Alexandria, Louisiana",,
"New Orleans, Louisiana",,
"Schriever, Louisiana",,
"Grambling, Louisiana",,
"Pineville, Louisiana",,
"Monroe, Louisiana",,
"Eunice, Louisiana",,
"Ruston, Louisiana",,
"Lake Charles, Louisiana",,
"Thibodaux, Louisiana",,
"Lacombe, Louisiana",,
"Minden, Louisiana",,
"Natchitoches, Louisiana",,
"Chalmette, Louisiana",,
"Gonzales, Louisiana",,
"Benedict, Louisiana",,
"Lafayette, Louisiana",,
"Hammond, Louisiana",,
"Lewiston, Maine",,
"Brunswick, Maine",,
"Waterville, Maine",,
"Bangor, Maine",,
"Castine, Maine",,
"Standish, Maine",,
"Orono, Maine",,
"Farmington, Maine",,
"Augusta, Maine",,
"Fort Kent, Maine",,
"Machias, Maine",,
"Presque Isle, Maine",,
"Biddeford, Maine",,
"Portland, Maine",,
"Bowie, Maryland",,
"Baltimore, Maryland",,
"Frostburg, Maryland",,
"Frederick, Maryland",,
"Westminster, Maryland",,
"Emmitsburg, Maryland",,
"Salisbury, Maryland",,
"St. Mary's City, Maryland",,
"Stevenson, Maryland",,
"Towson, Maryland",,
"Annapolis, Maryland",,
"Princess Anne, Maryland",,
"Catonsville, Maryland",,
"College Park, Maryland",,
"Chestertown, Maryland",,
"Springfield, Massachusetts",,
"Amherst, Massachusetts",,
"Paxton, Massachusetts",,
"Worcester, Massachusetts",,
"Wellesley, Massachusetts",,
"Longmeadow, Massachusetts",,
"Waltham, Massachusetts",,
"Chestnut Hill, Massachusetts",,
"Boston, Massachusetts",,
"Bridgewater, Massachusetts",,
"Chicopee, Massachusetts",,
"Milton, Massachusetts",,
"Franklin, Massachusetts",,
"Quincy, Massachusetts",,
"Beverly, Massachusetts",,
"Fitchburg, Massachusetts",,
"Framingham, Massachusetts",,
"Needham, Massachusetts",,
"Wenham, Massachusetts",,
"Cambridge, Massachusetts",,
"Newton Centre, Massachusetts",,
"Newton, Massachusetts",,
"North Adams, Massachusetts",,
"Buzzards Bay, Massachusetts",,
"North Andover, Massachusetts",,
"South Hadley, Massachusetts",,
"Dudley, Massachusetts",,
"Weston, Massachusetts",,
"Salem, Massachusetts",,
"Northampton, Massachusetts",,
"Easton, Massachusetts",,
"Medford, Massachusetts",,
"Dartmouth, Massachusetts",,
"Lowell, Massachusetts",,
"Westfield, Massachusetts",,
"Norton, Massachusetts",,
"Williamstown, Massachusetts",,
"Adrian, Michigan",,
"Albion, Michigan",,
"Alma, Michigan",,
"Alpena, Michigan",,
"Berrien Springs, Michigan",,
"Grand Rapids, Michigan",,
"Escanaba, Michigan",,
"Brimley, Michigan",,
"Mount Pleasant, Michigan",,
"Howell, Michigan",,
"Ann Arbor, Michigan",,
"Ypsilanti, Michigan",,
"Big Rapids, Michigan",,
"Hancock, Michigan",,
"Centreville, Michigan",,
"Allendale, Michigan",,
"Lansing, Michigan",,
"Dearborn, Michigan",,
"Hillsdale, Michigan",,
"Holland, Michigan",,
"Jackson, Michigan",,
"Kalamazoo, Michigan",,
"Flint, Michigan",,
"Benton Harbor, Michigan",,
"Sault Ste. Marie, Michigan",,
"Southfield, Michigan",,
"Livonia, Michigan",,
"East Lansing, Michigan",,
"Houghton, Michigan",,
"Harrison, Michigan",,
"Marquette, Michigan",,
"Traverse City, Michigan",,
"Midland, Michigan",,
"Rochester, Michigan",,
"Olivet, Michigan",,
"Rochester Hills, Michigan",,
"University Center, Michigan",,
"Spring Arbor, Michigan",,
"Detroit, Michigan",,
"Alexandria, Minnesota",,
"Anoka, Minnesota",,
"Coon Rapids, Minnesota",,
"Minneapolis, Minnesota",,
"Bemidji, Minnesota",,
"Mankato, Minnesota",,
"Saint Paul, Minnesota",,
"Northfield, Minnesota",,
"Brainerd, Minnesota",,
"Staples, Minnesota",,
"White Bear Lake, Minnesota",,
"St. Joseph, Minnesota",,
"Moorhead, Minnesota",,
"St. Paul, Minnesota",,
"Saint Bonifacius, Minnesota",,
"Rosemount, Minnesota",,
"Cloquet, Minnesota",,
"Saint Peter, Minnesota",,
"Brooklyn Park, Minnesota",,
"Hibbing, Minnesota",,
"Inver Grove Heights, Minnesota",,
"Grand Rapids, Minnesota",,
"Duluth, Minnesota",,
"New Ulm, Minnesota",,
"Virginia, Minnesota",,
"Eveleth, Minnesota",,
"Winona, Minnesota",,
"Fergus Falls, Minnesota",,
"Granite Falls, Minnesota",,
"Bloomington, Minnesota",,
"Thief River Falls, Minnesota",,
"Pine City, Minnesota",,
"International Falls, Minnesota",,
"Willmar, Minnesota",,
"Austin, Minnesota",,
"Rochester, Minnesota",,
"North Mankato, Minnesota",,
"Marshall, Minnesota",,
"St. Cloud, Minnesota",,
"Crookston, Minnesota",,
"Morris, Minnesota",,
"Ely, Minnesota",,
"Lorman, Mississippi",,
"Jackson, Mississippi",,
"Cleveland, Mississippi",,
"Clinton, Mississippi",,
"Moorhead, Mississippi",,
"Mississippi State, Mississippi",,
"Columbus, Mississippi",,
"Itta Bena, Mississippi",,
"Booneville, Mississippi",,
"Holly Springs, Mississippi",,
"Oxford, Mississippi",,
"Hattiesburg, Mississippi",,
"Fayette, Missouri",,
"Point Lookout, Missouri",,
"Neosho, Missouri",,
"Springfield, Missouri",,
"Saint Louis, Missouri",,
"Independence, Missouri",,
"St. Louis, Missouri",,
"Kansas City, Missouri",,
"Jefferson City, Missouri",,
"St. Charles, Missouri",,
"Joplin, Missouri",,
"Rolla, Missouri",,
"St. Joseph, Missouri",,
"Maryville, Missouri",,
"Cape Girardeau, Missouri",,
"Bolivar, Missouri",,
"Sedalia, Missouri",,
"Columbia, Missouri",,
"Kirksville, Missouri",,
"Warrensburg, Missouri",,
"Bellerive Acres, Missouri",,
"Fulton, Missouri",,
"Liberty, Missouri",,
"Helena, Montana",,
"Glendive, Montana",,
"Kalispell, Montana",,
"Great Falls, Montana",,
"Crow Agency, Montana",,
"Miles City, Montana",,
"Bozeman, Montana",,
"Billings, Montana",,
"Havre, Montana",,
"Butte , Montana",,
"Dillon, Montana",,
"Pablo, Montana",,
"Box Elder, Montana",,
"Missoula, Montana",,
"Chadron, Nebraska",,
"Seward, Nebraska",,
"Omaha, Nebraska",,
"Crete, Nebraska",,
"Hastings, Nebraska",,
"Fremont, Nebraska",,
"Lincoln, Nebraska",,
"Peru, Nebraska",,
"Kearney, Nebraska",,
"Wayne, Nebraska",,
"Las Vegas, Nevada",,
"Elko, Nevada",,
"Henderson, Nevada",,
"Reno, Nevada",,
"Carson City, Nevada",,
"Keene, New Hampshire",,
"New London, New Hampshire",,
"Hanover, New Hampshire",,
"Rindge, New Hampshire",,
"Concord, New Hampshire",,
"Portsmouth, New Hampshire",,
"Laconia, New Hampshire",,
"Warner, New Hampshire",,
"Nashua, New Hampshire",,
"Henniker, New Hampshire",,
"Plymouth, New Hampshire",,
"Claremont, New Hampshire",,
"Manchester, New Hampshire",,
"Merrimack, New Hampshire",,
"Durham, New Hampshire",,
"Lebanon, New Hampshire",,
"Berlin, New Hampshire",,
"Woodland Park, New Jersey",,
"Bloomfield, New Jersey",,
"Caldwell, New Jersey",,
"Hackettstown, New Jersey",,
"Madison, New Jersey",,
"Teaneck, New Jersey",,
"Lodi, New Jersey",,
"Lakewood, New Jersey",,
"Union, New Jersey",,
"West Long Branch, New Jersey",,
"Montclair, New Jersey",,
"Jersey City, New Jersey",,
"Newark, New Jersey",,
"Princeton, New Jersey",,
"Mahwah, New Jersey",,
"Lawrenceville , New Jersey",,
"Glassboro, New Jersey",,
"New Brunswick, New Jersey",,
"Camden, New Jersey",,
"Morristown, New Jersey",,
"South Orange, New Jersey",,
"Hoboken, New Jersey",,
"Galloway, New Jersey",,
"Ewing, New Jersey",,
"Trenton, New Jersey",,
"Wayne, New Jersey",,
"Portales, New Mexico",,
"Santa Fe, New Mexico",,
"Crownpoint, New Mexico",,
"Las Vegas, New Mexico",,
"Socorro, New Mexico",,
"Roswell, New Mexico",,
"Las Cruces, New Mexico",,
"Española, New Mexico",,
"Farmington, New Mexico",,
"Albuquerque, New Mexico",,
"Silver City, New Mexico",,
"New York City, New York",,
"Garden City, New York",,
"Queensbury, New York",,
"Albany, New York",,
"Alfred, New York",,
"Annadale-on-Hudson, New York",,
"Syracuse, New York",,
"Getzville, New York",,
"Buffalo, New York",,
"Rochester, New York",,
"Orchard Park, New York",,
"Liverpool, New York",,
"Auburn, New York",,
"Cazenovia, New York",,
"Potsdam, New York",,
"Schenectady, New York",,
"Plattsburgh, New York",,
"Hamilton, New York",,
"Hudson, New York",,
"Bronxville, New York",,
"Ithaca, New York",,
"Hyde Park, New York",,
"Amherst, New York",,
"Johnson City, New York",,
"Orangeburg, New York",,
"Poughkeepsie, New York",,
"Lima, New York",,
"Vestal, New York",,
"Elmira, New York",,
"Farmingdale, New York",,
"Canandaigua, New York",,
"Geneva, New York",,
"Dix Hills, New York",,
"Johnstown, New York",,
"Batavia, New York",,
"Clinton, New York",,
"Oneonta, New York",,
"Herkimer, New York",,
"Hamburg, New York",,
"Hempstead, New York",,
"Houghton, New York",,
"Troy, New York",,
"New Rochelle, New York",,
"Ithaca , New York",,
"Jamestown, New York",,
"Watertown, New York",,
"Keuka Park, New York",,
"Brookville, New York",,
"Purchase, New York",,
"Dobbs Ferry, New York",,
"Utica, New York",,
"Rockville Centre, New York",,
"Newburgh, New York",,
"Seneca Falls, New York",,
"Syosset, New York",,
"Mineola, New York",,
"Old Westbury, New York",,
"Valhalla, New York",,
"Sanborn, New York",,
"Niagara, New York",,
"Middletown, New York",,
"Paul Smiths, New York",,
"Suffern, New York",,
"Brockport, New York",,
"Binghamton, New York",,
"Canton, New York",,
"Cobleskill, New York",,
"Corning, New York",,
"Cortland, New York",,
"Delhi, New York",,
"Saratoga Springs, New York",,
"Geneseo, New York",,
"Morrisville, New York",,
"New Paltz, New York",,
"Oswego, New York",,
"Fredonia, New York",,
"Loudonville, New York",,
"St. Bonaventure, New York",,
"Rocheser, New York",,
"Patchogue, New York",,
"Sparkill, New York",,
"Stony Brook, New York",,
"Selden, New York",,
"Loch Sheldrake, New York",,
"White Plains, New York",,
"Dryden, New York",,
"Stone Ridge, New York",,
"Kings Point, New York",,
"West Point, New York",,
"Glen Cove, New York",,
"Aurora, New York",,
"Pottersville, New York",,
"Boone, North Carolina",,
"Wilson, North Carolina",,
"Belmont, North Carolina",,
"Brevard, North Carolina",,
"Bules Creek, North Carolina",,
"Charlotte, North Carolina",,
"Salisbury, North Carolina",,
"Murfreesboro, North Carolina",,
"Davidson, North Carolina",,
"Durham, North Carolina",,
"Greenville, North Carolina",,
"Elizabeth City, North Carolina",,
"Elon, North Carolina",,
"Fayetteville, North Carolina",,
"Boiling Springs, North Carolina",,
"Greensboro, North Carolina",,
"High Point, North Carolina",,
"Banner Elk, North Carolina",,
"Hickory, North Carolina",,
"Mars Hill, North Carolina",,
"Raleigh, North Carolina",,
"Montreat, North Carolina",,
"Rocky Mount, North Carolina",,
"Misenheimer, North Carolina",,
"Winston-Salem, North Carolina",,
"Mount Olive, North Carolina",,
"Asheville, North Carolina",,
"Winston Salem, North Carolina",,
"Wilmington, North Carolina",,
"Chapel Hill, North Carolina",,
"Pembroke, North Carolina",,
"Swannanoa, North Carolina",,
"Cullowhee, North Carolina",,
"Wingate, North Carolina",,
"Bismarck, North Dakota",,
"Bottineau, North Dakota",,
"Dickinson, North Dakota",,
"Devils Lake, North Dakota",,
"Mayville, North Dakota",,
"Minot, North Dakota",,
"Wahpeton, North Dakota",,
"Fargo, North Dakota",,
"New Town, North Dakota",,
"Fort Yates, North Dakota",,
"Grand Forks, North Dakota",,
"Valley City, North Dakota",,
"Williston, North Dakota",,
"Dayton, Ohio",,
"Ashland, Ohio",,
"Berea, Ohio",,
"Bluffton, Ohio",,
"Bowling Green, Ohio",,
"Huron, Ohio",,
"Columbus, Ohio",,
"Cleveland, Ohio",,
"Cedarville, Ohio",,
"Wilberforce, Ohio",,
"Springfield, Ohio",,
"Defiance, Ohio",,
"Granville, Ohio",,
"Steubenville, Ohio",,
"Tiffin, Ohio",,
"Hiram, Ohio",,
"University Heights, Ohio",,
"Kent, Ohio",,
"Burton, Ohio",,
"Ashtabula, Ohio",,
"East Liverpool, Ohio",,
"Salem, Ohio",,
"North Canton, Ohio",,
"Warren, Ohio",,
"New Philadelphia, Ohio",,
"Gambier, Ohio",,
"Painesville, Ohio",,
"Elyria, Ohio",,
"Sylvania, Ohio",,
"Canton, Ohio",,
"Marietta, Ohio",,
"Oxford, Ohio",,
"Cincinnati, Ohio",,
"New Concord, Ohio",,
"Mansfield, Ohio",,
"Rootstown, Ohio",,
"Oberlin, Ohio",,
"Ada, Ohio",,
"Athens, Ohio",,
"Chillicothe, Ohio",,
"St. Clairesville, Ohio",,
"Lancaster, Ohio",,
"Irontown, Ohio",,
"Zanesville, Ohio",,
"Delaware, Ohio",,
"Westerville, Ohio",,
"Portsmouth, Ohio",,
"Fremont, Ohio",,
"Wooster, Ohio",,
"Findlay, Ohio",,
"Akron, Ohio",,
"Alliance, Ohio",,
"Toledo, Ohio",,
"Pepper Pike, Ohio",,
"Wilmington, Ohio",,
"Celina, Ohio",,
"Youngstown, Ohio",,
"Lawton, Oklahoma",,
"Ada, Oklahoma",,
"Langston, Oklahoma",,
"Tahlequah, Oklahoma",,
"Tonkawa, Oklahoma",,
"Alva, Oklahoma",,
"Shawnee, Oklahoma",,
"Edmond, Oklahoma",,
"Oklahoma City, Oklahoma",,
"Goodwell, Oklahoma",,
"Stillwater, Oklahoma",,
"Tulsa, Oklahoma",,
"Okmulgee, Oklahoma",,
"Claremore, Oklahoma",,
"Midwest City, Oklahoma",,
"Durant, Oklahoma",,
"Bethany, Oklahoma",,
"Weatherford, Oklahoma",,
"Norman, Oklahoma",,
"Chickasha, Oklahoma",,
"La Grande, Oregon",,
"Newberg, Oregon",,
"Eugene, Oregon",,
"Portland, Oregon",,
"McMinnville, Oregon",,
"Klamath Falls , Oregon",,
"Corvallis, Oregon",,
"Bend, Oregon",,
"Forest Grove, Oregon",,
"Ashland, Oregon",,
"Mounmouth, Oregon",,
"Salem, Oregon",,
"Reading, Pennsylvania",,
"Meadville, Pennsylvania",,
"Glenslide, Pennsylvania",,
"Bloomsburg, Pennsylvania",,
"Bryn Athyn, Pennsylvania",,
"Bryn Mawr, Pennsylvania",,
"Lewisburg, Pennsylvania",,
"Radnor, Pennsylvania",,
"Langhorne, Pennsylvania",,
"California, Pennsylvania",,
"Pittsburgh, Pennsylvania",,
"Allentown, Pennsylvania",,
"Philadelphia, Pennsylvania",,
"Cheyney, Pennsylvania",,
"Clarion, Pennsylvania",,
"South Abington Township, Pennsylvania",,
"Center Valley, Pennsylvania",,
"Doylestown, Pennsylvania",,
"Carlisle, Pennsylvania",,
"East Stroudsburg, Pennsylvania",,
"St. Davids, Pennsylvania",,
"Edinboro, Pennsylvania",,
"Elizabethtown, Pennsylvania",,
"Lancaster, Pennsylvania",,
"Erie, Pennsylvania",,
"Beaver Falls, Pennsylvania",,
"Gettysburg, Pennsylvania",,
"Grove City, Pennsylvania",,
"Gwynedd Valley, Pennsylvania",,
"Haverford, Pennsylvania",,
"Immaculata, Pennsylvania",,
"Indiana, Pennsylvania",,
"Huntingdon, Pennsylvania",,
"La Plume, Pennsylvania",,
"Wilkes-Barre, Pennsylvania",,
"Kutztown, Pennsylvania",,
"Easton, Pennsylvania",,
"Annville, Pennsylvania",,
"Bethlehem, Pennsylvania",,
"Lincoln University, Pennsylvania",,
"Lock Haven, Pennsylvania",,
"Williamsport, Pennsylvania",,
"Mansfield, Pennsylvania",,
"Scranton, Pennsylvania",,
"Mechanicsburg, Pennsylvania",,
"Millersville, Pennsylvania",,
"Dallas, Pennsylvania",,
"Cresson, Pennsylvania",,
"Aston, Pennsylvania",,
"State College, Pennsylvania",,
"Abington, Pennsylvania",,
"Altoona, Pennsylvania",,
"Monaca, Pennsylvania",,
